"ID","time","lon","lat","centre_lon","centre_lat","d2c","step","angle"
"PET-C",2012-01-28 12:50:49,-9.500445491,-61.69896982,2.158636873,-69.9442646,1058.68552639271,11.7759956171985,-2.02398208250957
"PET-C",2012-01-28 13:20:49,-9.31042477,-61.64409564,2.158636873,-69.9442646,1060.04668919677,19.963606767656,-0.53434559982459
"PET-C",2012-01-28 13:50:49,-8.93385693,-61.64174767,2.158636873,-69.9442646,1052.13717831224,6.97553144689905,1.17430366512742
"PET-C",2012-01-28 14:20:49,-8.884376756,-61.58375603,2.158636873,-69.9442646,1057.00368974692,12.1941503753258,0.714769402688077
"PET-C",2012-01-28 14:50:49,-8.958201153,-61.48016177,2.158636873,-69.9442646,1069.1570025246,9.53066255585322,-0.333615288487339
"PET-C",2012-01-28 15:20:49,-8.95728734,-61.39463759,2.158636873,-69.9442646,1077.8897175934,11.4823435244524,0.659337724687421
"PET-C",2012-01-28 15:50:49,-9.087711515,-61.3128094,2.158636873,-69.9442646,1089.02168642954,10.274265974096,-2.36040871919524
"PET-C",2012-01-28 16:20:49,-8.897615848,-61.32512213,2.158636873,-69.9442646,1083.76397853499,7.93387697332036,2.68767955935399
"PET-C",2012-01-28 16:50:49,-9.020620281,-61.28549531,2.158636873,-69.9442646,1090.40552344531,10.961595314709,-1.04945050439829
"PET-C",2012-01-28 17:20:49,-9.006780287,-61.18735273,2.158636873,-69.9442646,1100.18606742825,7.3046879621777,-0.272158723584149
"PET-C",2012-01-28 17:50:49,-8.961564189,-61.12554761,2.158636873,-69.9442646,1105.59799202472,15.370424052318,0.0219049995299734
"PET-C",2012-01-28 18:20:49,-8.872700621,-60.99450618,2.158636873,-69.9442646,1117.26902861767,19.6146289348885,1.01223647994022
"PET-C",2012-01-28 18:50:49,-9.103552268,-60.85899682,2.158636873,-69.9442646,1135.98314655066,12.6710274111007,0.491199000641488
"PET-C",2012-01-28 19:20:49,-9.319296113,-60.81605498,2.158636873,-69.9442646,1144.87976804081,13.1182697684965,-0.00209210458441084
"PET-C",2012-01-28 19:50:49,-9.542154134,-60.77136335,2.158636873,-69.9442646,1154.15288357067,18.072162353752,-0.660372092929936
"PET-C",2012-01-28 20:20:49,-9.70700122,-60.63073047,2.158636873,-69.9442646,1172.08674103681,27.7552226916912,-0.49922513483418
"PET-C",2012-01-28 20:50:49,-9.718839155,-60.38169734,2.158636873,-69.9442646,1197.96715279472,21.0137417801842,-0.310908279739832
"PET-C",2012-01-28 21:20:49,-9.611446785,-60.20078514,2.158636873,-69.9442646,1214.42705959504,18.8246236580227,-2.0360223126385
"PET-C",2012-01-28 21:50:49,-9.362829669,-60.31604255,2.158636873,-69.9442646,1197.40910786915,13.3854205524192,-0.279223131490755
"PET-C",2012-01-28 22:20:49,-9.238130118,-60.41908994,2.158636873,-69.9442646,1184.20093246668,0.468295311717169,-0.296497503480338
"PET-C",2012-01-28 22:50:49,-9.236088993,-60.42316996,2.158636873,-69.9442646,1183.7368723905,8.9556921549885,0.112784946120893
"PET-C",2012-01-28 23:20:49,-9.179409179,-60.49851651,2.158636873,-69.9442646,1174.78333719685,10.2931697079347,-0.00772159016683877
"PET-C",2012-01-28 23:50:49,-9.115451264,-60.58535861,2.158636873,-69.9442646,1164.49503234276,0.0647393123996241,0.768851296489164
"PET-C",2012-01-29 00:20:49,-9.114389984,-60.58561364,2.158636873,-69.9442646,1164.44709440141,8.3989441009448,-0.47492610138785
"PET-C",2012-01-29 00:50:49,-9.02252839,-60.64597773,2.158636873,-69.9442646,1156.33699914013,5.68747559951989,-2.29967664241476
"PET-C",2012-01-29 01:20:49,-9.126076976,-60.64148091,2.158636873,-69.9442646,1158.9051123108,13.8644812456266,2.02759746606319
"PET-C",2012-01-29 01:50:49,-9.03426483,-60.75748652,2.158636873,-69.9442646,1145.04168922805,9.51780070434229,-0.0677487550856767
"PET-C",2012-01-29 02:20:49,-8.982270582,-60.83903823,2.158636873,-69.9442646,1135.55580075594,6.4033603281603,-0.155630142567748
